model,epochs,acc,loss
CNN-LSTM,1,0.558823530580483,0.932971722939435
CNN-LSTM,2,0.549019607843137,0.917996533945495
CNN-LSTM,3,0.529411764705882,0.904170149681615
CNN-LSTM,4,0.539215685105791,0.90905473279018
CNN-LSTM,5,0.509803921568627,0.902842570753658
CNN-LSTM,6,0.598039214517556,0.864469136677536
CNN-LSTM,7,0.578431371380301,0.86522243420283
CNN-LSTM,8,0.558823529411765,0.849841078122457
CNN-LSTM,9,0.568627452149111,0.83639212215648
CNN-LSTM,10,0.519607843429435,0.845903748390721
CNN-LSTM,11,0.558823529411765,0.839258583152996
CNN-LSTM,12,0.64705882469813,0.818657864542568
CNN-LSTM,13,0.598039214517556,0.802298672059003
CNN-LSTM,14,0.686274508635203,0.752978002323824
CNN-LSTM,15,0.617647059407889,0.754057726439308
CNN-LSTM,16,0.647058824113771,0.756181746136909
CNN-LSTM,17,0.647058823529412,0.765076049402648
CNN-LSTM,18,0.588235294117647,0.748802623328041
CNN-LSTM,19,0.696078430203831,0.721969451390061
CNN-LSTM,20,0.588235294117647,0.746607987319722
CNN-LSTM,21,0.617647059407889,0.732492428199918
CNN-LSTM,22,0.656862746266758,0.724261622802884
CNN-LSTM,23,0.676470589404013,0.673937276297925
CNN-LSTM,24,0.617647058823529,0.698410459593231
CNN-LSTM,25,0.676470587066576,0.677989616113551
CNN-LSTM,26,0.647058822360693,0.680602279363894
CNN-LSTM,27,0.647058823529412,0.673226831006069
CNN-LSTM,28,0.656862745098039,0.662766337394714
CNN-LSTM,29,0.696078432541268,0.606238296218947
CNN-LSTM,30,0.656862746266758,0.625755497053558
CNN-GRU,1,0.490196079600091,0.745411342265559
CNN-GRU,2,0.549019607843137,0.737705743780323
CNN-GRU,3,0.53921568627451,0.730586899261849
CNN-GRU,4,0.666666665497948,0.725786038473541
CNN-GRU,5,0.676470588235294,0.720084261660482
CNN-GRU,6,0.686274509803922,0.713943237183141
CNN-GRU,7,0.696078431664729,0.707987509521784
CNN-GRU,8,0.72549019724715,0.702425925170674
CNN-GRU,9,0.73529411647834,0.697812374900369
CNN-GRU,10,0.754901960784314,0.690753714711058
CNN-GRU,11,0.754901960784314,0.684425225444869
CNN-GRU,12,0.764705881184223,0.679538581885544
CNN-GRU,13,0.76470588352166,0.672892610232035
CNN-GRU,14,0.77450980275285,0.664147985916512
CNN-GRU,15,0.784313724321478,0.656726050610636
CNN-GRU,16,0.76470588352166,0.647055960169026
CNN-GRU,17,0.784313725490196,0.638628821746976
CNN-GRU,18,0.784313725490196,0.628395585452809
CNN-GRU,19,0.774509805090287,0.616458275738884
CNN-GRU,20,0.784313726658915,0.603896397001603
CNN-GRU,21,0.784313724321478,0.590610659589954
CNN-GRU,22,0.77450980275285,0.570311665534973
CNN-GRU,23,0.803921569796169,0.558634039233713
CNN-GRU,24,0.823529410595987,0.540038792526021
CNN-GRU,25,0.813725490196078,0.51545722694958
CNN-GRU,26,0.852941176470588,0.499131335347307
CNN-GRU,27,0.833333332164615,0.466118435064952
CNN-GRU,28,0.862745096870497,0.455245901556576
CNN-GRU,29,0.833333333333333,0.436603744824727
CNN-GRU,30,0.833333333333333,0.428764811917847
LSTM-Emb,1,0.5,0.798362501696044
LSTM-Emb,2,0.5,0.769353604784199
LSTM-Emb,3,0.627450980392157,0.747265954812368
LSTM-Emb,4,0.715686274509804,0.727669397989909
LSTM-Emb,5,0.715686274509804,0.708580366536683
LSTM-Emb,6,0.715686274509804,0.684232188206093
LSTM-Emb,7,0.725490196078431,0.652857886809929
LSTM-Emb,8,0.745098039215686,0.612028948232239
LSTM-Emb,9,0.715686274509804,0.579701334822412
LSTM-Emb,10,0.735294117647059,0.556265472197065
LSTM-Emb,11,0.735294117647059,0.562736007512785
LSTM-Emb,12,0.764705882352941,0.527150535116009
LSTM-Emb,13,0.803921568627451,0.50404102194543
LSTM-Emb,14,0.813725490196078,0.473659698577488
LSTM-Emb,15,0.823529411764706,0.440552238155814
LSTM-Emb,16,0.794117647058824,0.485638229870329
LSTM-Emb,17,0.803921568627451,0.454214741786321
LSTM-Emb,18,0.794117647058824,0.443715741821364
LSTM-Emb,19,0.852941176470588,0.405965827259363
LSTM-Emb,20,0.843137254901961,0.394288081748813
LSTM-Emb,21,0.794117647058824,0.458630368990057
LSTM-Emb,22,0.843137254901961,0.385780479978113
LSTM-Emb,23,0.852941176470588,0.389583116652919
LSTM-Emb,24,0.862745098039216,0.355835611767629
LSTM-Emb,25,0.872549019607843,0.322226795495725
LSTM-Emb,26,0.892156862745098,0.329653744896253
LSTM-Emb,27,0.941176470588235,0.288725003600121
LSTM-Emb,28,0.872549019607843,0.383162166119791
LSTM-Emb,29,0.852941176470588,0.325795964721371
LSTM-Emb,30,0.862745098039216,0.314399896883497
GRU-Emb,1,0.431372549019608,1.77471120918498
GRU-Emb,2,0.441176470588235,1.7631552920622
GRU-Emb,3,0.509803921568627,1.7501547313204
GRU-Emb,4,0.470588235294118,1.74206803592981
GRU-Emb,5,0.450980392156863,1.72929445435019
GRU-Emb,6,0.53921568627451,1.71811281933504
GRU-Emb,7,0.46078431372549,1.70837853936588
GRU-Emb,8,0.519607843137255,1.6968965623893
GRU-Emb,9,0.53921568627451,1.68711620686101
GRU-Emb,10,0.529411764705882,1.67721404515061
GRU-Emb,11,0.519607843137255,1.66503170892304
GRU-Emb,12,0.57843137254902,1.65371851360097
GRU-Emb,13,0.519607843137255,1.64509506552827
GRU-Emb,14,0.588235294117647,1.63483168798334
GRU-Emb,15,0.627450980392157,1.62443663559708
GRU-Emb,16,0.549019607843137,1.61502922048756
GRU-Emb,17,0.549019607843137,1.60517144670673
GRU-Emb,18,0.529411764705882,1.59546764925414
GRU-Emb,19,0.53921568627451,1.58718969541438
GRU-Emb,20,0.53921568627451,1.57770773476245
GRU-Emb,21,0.598039215686275,1.56556848451203
GRU-Emb,22,0.568627450980392,1.55797118299148
GRU-Emb,23,0.529411764705882,1.54965110853607
GRU-Emb,24,0.568627450980392,1.54086746655258
GRU-Emb,25,0.607843137254902,1.53282973345588
GRU-Emb,26,0.627450980392157,1.52176381559933
GRU-Emb,27,0.647058823529412,1.512224557353
GRU-Emb,28,0.666666666666667,1.50427914600746
GRU-Emb,29,0.607843137254902,1.49646692416247
GRU-Emb,30,0.705882352941177,1.48688189188639
